585;Universidade Federal De Santa Catarina (UFSC)
586;Universidade Federal Do Rio De Janeiro (UFRJ)
587;Universidade Federal Rural De Pernambuco (UFRPE)
588;Universidade Tecnológica Federal Do Paraná (UTFPR)
589;Universidade Federal Rural Do Semi-Árido (UFERSA)
590;Universidade Federal Rural Da Amazônia (UFRA)
591;Universidade Federal De São Paulo (UNIFESP)
592;Universidade Federal De Lavras (UFLA)
595;Universidade Federal De Alfenas (UNIFAL-MG)
596;Universidade Federal Dos Vales Do Jequitinhonha E Mucuri (UFVJM)
597;Universidade Federal Do Triângulo Mineiro (UFTM)
598;Universidade Federal De Itajubá - Unifei (UNIFEI)
605;Universidade Municipal De São Caetano Do Sul (USCS)
609;Universidade Estadual Do Oeste Do Paraná (UNIOESTE)
634;Universidade Federal De Pelotas (UFPEL)
641;Universidade La Salle (UNILASALLE)
663;Universidade Salgado De Oliveira (UNIVERSO)
664;Universidade Vila Velha (UVV)
665;Universidade De Taubaté (UNITAU)
666;Universidade Estadual De Feira De Santana (UEFS)
669;Universidade Nilton Lins (UNINILTONLINS)
670;Universidade São Francisco (USF)
671;Universidade Anhanguera (UNIDERP)
688;Universidade Estadual Do Sudoeste Da Bahia (UESB)
693;Universidade Federal Do Estado Do Rio De Janeiro (UNIRIO)
694;Universidade Federal De Mato Grosso Do Sul (UFMS)
699;Fundação Universidade Federal De Rondônia (UNIR)
717;Fundação Universidade Federal De Ciências Da Saúde De Porto Alegre (UFCSPA)
718;Universidade Potiguar (UNP)
719;Universidade Do Estado De Mato Grosso Carlos Alberto Reyes Maldonado - Unemat (UNEMAT)
730;Universidade Estadual De Ponta Grossa (UEPG)
746;Universidade Regional Do Cariri (URCA)
750;Universidade De Gurupi (UnirG)
756;Universidade Estadual Do Piauí (UESPI)
780;Universidade De Cuiabá (UNIC/UNIME)
789;Universidade Federal De Roraima (UFRR)
823;Universidade Ceuma (UNICEUMA)
829;Universidade Estadual Do Tocantins (UNITINS)
830;Universidade Federal Do Amapá (UNIFAP)
952;Universidade Santa Cecília (UNISANTA)
953;Universidade Metropolitana De Santos (UNIMES)
1027;Universidade Estadual Do Norte Fluminense Darcy Ribeiro (UENF)
1028;Universidade Estadual De Mato Grosso Do Sul (UEMS)
1036;Universidade Do Estado De Minas Gerais (UEMG)
1041;Universidade Do Vale Do Taquari (UNIVATES)
1042;Universidade Positivo (UP)
1126;Faculdade De Educação De Jaru (UNICENTRO)
1128;Universidade De Itaúna (UI)
1153;Universidade Cândido Mendes (UCAM)
1189;Universidade Do Planalto Catarinense (UNIPLAC)
1196;Universidade Cesumar (UNICESUMAR)
1557;Universidade Fumec (FUMEC)
1586;Universidade Do Vale Do Sapucaí (UNIVÁS)
2564;Universidade Federal De Campina Grande (UFCG)
3151;Universidade Comunitária Da Região De Chapecó (UNOCHAPECÓ)
3172;Universidade Do Estado Do Amazonas (UEA)
3336;Universidade Estadual Do Rio Grande Do Sul (UERGS)
3849;Fundação Universidade Federal Do Tocantins (UFT)
3974;Universidade De Rio Verde (FESURV)
3984;Fundação Universidade Federal Do Vale Do São Francisco (UNIVASF)
4503;Universidade Federal Do Recôncavo Da Bahia (UFRB)
4504;Fundação Universidade Federal Da Grande Dourados (UFGD)
4925;Fundação Universidade Federal Do Abc (UFABC)
5077;Universidade Estadual De Roraima (UERR)
5242;Universidade Estadual De Alagoas - Uneal (UNEAL)
5322;Fundação Universidade Federal Do Pampa - Unipampa (UNIPAMPA)
15001;Universidade Federal Da Integração Latino-Americana (UNILA)
15015;Universidade Estadual Do Norte Do Paraná (UENP)
15032;Universidade Alto Vale Do Rio Do Peixe (UNIARP)
15059;Universidade Federal Do Oeste Do Pará (UFOPA)
15121;Universidade Federal Da Fronteira Sul (UFFS)
15497;Universidade Da Integração Internacional Da Lusofonia Afro-Brasileira (UNILAB)
18440;Universidade Federal Do Sul E Sudeste Do Pará (UNIFESSPA)
18492;Universidade Estadual Do Paraná (UNESPAR)
18506;Universidade Federal Do Oeste Da Bahia (UFOB)
18759;Universidade Federal Do Cariri (UFCA)
18812;Universidade Federal Do Sul Da Bahia (UFSB)
23410;Universidade Estadual Da Região Tocantina Do Maranhão (UEMASUL)
25274;Universidade Federal De Catalão (UFCAT)
25277;Universidade Federal Do Delta Do Parnaiba (UFDPAR)
25282;Universidade Federal De Jataí (UFJ)
25352;Universidade Federal De Rondonópolis (UFR)
