;QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
0;9;Elementos Químicos, Estrutura Atômica E Molecular;Estudo De Substâncias E Transformações Químicas;;True
1;10;Estados Dispersos: Soluções E Sistemas Coloidais;;;True
2;11;Métodos De Análise Em Química: Caracterização E Quantificação;Química Ambiental;;True
3;12;Termodinâmica, Equilíbrio Químico, Cinética Química E Gases;;;False
4;13;Compostos De Coordenação;Elementos Químicos, Estrutura Atômica E Molecular;;True
5;14;Termodinâmica, Equilíbrio Químico, Cinética Química E Gases;;;True
6;15;Normas De Segurança E Operações De Laboratório Utilizadas Em Síntese, Purificação, Caracterização E Quantificação De Substâncias E Em Determinações Físico-Químicas;;;True
7;16;Química Ambiental;Normas De Segurança E Operações De Laboratório Utilizadas Em Síntese, Purificação, Caracterização E Quantificação De Substâncias E Em Determinações Físico-Químicas;;True
8;17;Compostos Orgânicos: Reações E Mecanismos;;;True
9;18;Química Ambiental;;;False
10;19;"Compostos Orgânicos: Reações E Mecanismos; Macromoléculas Naturais E Sintéticas";Termodinâmica, Equilíbrio Químico, Cinética Química E Gases;;True
11;20;Termodinâmica, Equilíbrio Químico, Cinética Química E Gases;;;True
12;21;Eletroquímica;;;True
13;22;Bioquímica: Estrutura de biomoléculas, biossíntese e metabolismo;;;True
14;23;"Compostos Orgânicos: Reações E Mecanismos; Macromoléculas Naturais E Sintéticas";Métodos De Análise Em Química: Caracterização E Quantificação;;True
15;24;Compostos De Coordenação;;;True
16;25;"Compostos Orgânicos: Reações E Mecanismos; Macromoléculas Naturais E Sintéticas";;;True
17;26;Métodos Analíticos: Análise Térmica, Cromatografia (Clae E Cg), Rmn De C-13 E H-1, Uv-Vis, Infravermelho, Espectrometria De Massas E Absorção Atômica;;;True
18;27;Métodos Analíticos: Análise Térmica, Cromatografia (Clae E Cg), Rmn De C-13 E H-1, Uv-Vis, Infravermelho, Espectrometria De Massas E Absorção Atômica;Materiais Cerâmicos, Metálicos E Poliméricos: Obtenção, Propriedades E Aplicações;;False
19;28;"Métodos Analíticos: Análise Térmica, Cromatografia (Clae E Cg), Rmn De C-13 E H-1, Uv-Vis, Infravermelho, Espectrometria De Massas E Absorção Atômica; Oc 13: Purificação E Caracterização De Biomoléculas";;;False
20;29;Elementos Químicos, Estrutura Atômica E Molecular;Estudo De Substâncias E Transformações Químicas;;True
21;30;Teoria Dos Orbitais Moleculares Em Moléculas Poliatômicas;;;True
22;31;Métodos De Análise Em Química: Caracterização E Quantificação;;;True
23;32;Materiais Cerâmicos, Metálicos E Poliméricos: Obtenção, Propriedades E Aplicações;;;True
24;33;Compostos Organometálicos: Estrutura E Ligações Químicas;;;True
25;34;Métodos Analíticos: Análise Térmica, Cromatografia (Clae E Cg), Rmn De C-13 E H-1, Uv-Vis, Infravermelho, Espectrometria De Massas E Absorção Atômica;;;False
26;35;Teoria Dos Orbitais Moleculares Em Moléculas Poliatômicas;Elementos Químicos, Estrutura Atômica E Molecular;;False
